boxname,level
ftyp,0
pdin,0
moov,0
mvhd,1
meta,1
trak,1
tkhd,2
tref,2
edts,2
elst,3
meta,2
mdia,2
mdhd,3
hdlr,3
elng,3
minf,3
vmhd,4
smhd,4
hmhd,4
sthd,4
nmhd,4
dinf,4
dref,4
stbl,3
stsd,4
stts,4
ctts,4
cslg,4
stsc,4
stsz,4
sts2,4
stco,4
co64,4
stss,4
stsh,4
padb,4
stdp,4
sdtp,4
sbgp,4
sgpd,4
subs,4
saiz,4
saio,4
udta,2
mvex,1
mehd,2
trex,2
leva,2
moof,0
mfhd,1
meta,1
traf,1
thfd,2
trun,2
sbgp,2
sgpd,2
subs,2
saiz,2
saio,2
tfdt,2
meta,2
mfra,0
tfra,1
mfro,1
mdat,0
free,0
skip,0
udta,1
cprt,2
tsel,2
strk,2
stri,3
strd,3
meta,0
hdlr,1
dinf,1
iloc,1
ipro,1
sinf,2
frma,3
schm,3
schi,3
iinf,1
xml ,1
bxml,1
pitm,1
fiin,1
paen,2
fire,3
fpar,3
fecr,3
segr,2
gitn,2
idat,1
iref,1
meco,0
mere,1
meta,2
styp,0
sidx,0
ssix,0
prft,0
